last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,
Pujols, Albert,405395,2022,91.2,16.4,34.5,31,12,7,22.5,26.7,29.1,2.7,47.3,102.064436899,7.425491822,63.5,12,34.9,36,64,93,258,53.4,739,71.7,6.6,128,727,526,1385,88,49,410,46.6,646,42.9,594,21.3,48.2,52.3,30.2,17.4,258,60.6,38,98,29.5,76,20.5,53,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,22.6,
Cabrera, Miguel,408234,2022,89.9,5,35.2,14,4.7,3.7,28.9,18.3,41.9,2,38.2,99.360961867,5.99969786,71,19.4,31.6,42.3,57.7,116,274,52.7,866,81,7.1,132,1017,492,1643,80.6,107,551,47.3,776,43.7,717,27,50.2,31.6,39.9,28.6,301,61.9,52.5,158,19.6,59,25.9,78,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,23.1,
Molina, Yadier,425877,2022,84.7,16.9,34.1,7,3.1,4.9,27.4,31.8,30,2.7,26,95.0195225,3.560423363,75.2,18.5,41.3,28.6,71.4,57,199,48.9,482,74.6,7.2,75,542,369,986,81,70,379,51.1,504,45.5,449,22,58.6,36.3,38.6,25.1,223,70,39,87,29.6,66,20.2,45,11.2,25,19,2.05,2.06,2.03,1,1.95,,1.95,0.77,79.9,,,,,,,,,,,,,,,,,,,,,,,5.07,21.8,
Cano, Robinson,429664,2022,88.2,5.8,29.3,3,4,4,22.7,22.7,40,6.7,41.3,100.261988108,6.247323243,77.3,12.8,40,44,56,37,84,55,210,72,6.5,51,224,106,382,87.2,17,133,45,172,45.8,175,24.9,56.8,38.7,24,37.3,75,58.7,54.7,41,18.7,14,20,15,6.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,24.3,
Suzuki, Kurt,435559,2022,85.2,24.1,31,4,3.5,7.1,20.4,39.8,23.9,5.3,26.5,95.157941429,3.58600375,68,12.6,27.2,43,57,34,79,48.9,290,76.2,10.6,42,347,204,593,87.4,26,206,51.1,303,42,249,21.1,48.1,45.1,38.9,15.9,113,61.6,30.1,34,30.1,34,21.2,24,18.6,21,16,2.07,2.07,2.07,1,1.63,1.63,,0.81,80.1,,,,,,,,,,,,,,,,,,,,,,,5.01,24.2,
Cruz Jr., Nelson,443558,2022,90.9,7.2,28,31,9.3,4.5,25.6,17.2,39.8,2.4,46.1,102.29838061,7.468978262,72.5,23.3,31,50.6,49.4,163,322,52.2,1040,81,6.1,224,1096,672,1992,76.7,161,690,47.8,952,44.4,885,32,50.8,32.8,37.3,29.8,332,61.5,53,176,19.3,64,22.9,76,4.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,25.5,
Peralta, David,444482,2022,90.3,15.1,35,28,8.5,9.1,26.9,25.7,28.1,1.8,44.4,101.233296566,6.9223429,69,14.3,33.1,49.5,50.2,155,313,51.7,947,70.5,7,341,969,520,1830,85.7,87,609,48.3,883,44.4,813,26.2,50.4,38.1,39.6,22.4,331,61,36.3,120,28.4,94,26.3,87,9.1,30,,,,,,,,,,,5,0,17,0.0,5,11,45.5,10,12,83.3,16,87.5,14,100.0,16,16,0.4,0.4,-0.2,0.6,34.3,,4.44,27.6,
Pina, Manny,444489,2022,81.9,9,14.3,1,7.1,0,7.1,28.6,35.7,14.3,21.4,93.087495714,3.797813077,67.7,9.5,23.5,25,75,2,8,52.3,34,,0,6,36,23,65,90.5,2,21,47.7,31,53.8,35,13.8,44.6,35.7,35.7,28.6,14,52.9,57.1,8,28.6,4,7.1,1,7.1,1,1,1.99,1.99,,0,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,24.2,
Escobar, Alcides,444876,2022,81.8,15.7,39.1,1,1.1,1.1,27.2,34.8,27.2,8.7,17.4,92.492630217,2.550370549,70.9,14.9,36.3,34.8,62.9,31,89,48,245,70.4,5.3,54,262,194,510,82.4,28,188,52,265,43.7,223,21.3,54.3,26.1,45.7,28.3,92,64.9,38,35,20.7,19,30.4,28,10.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.39,28.2,
Longoria, Evan,446334,2022,91.1,18.2,33.3,23,12.4,10.2,23.1,25.8,25.3,3.2,46.8,101.592486559,7.291511667,62.8,22.5,26,46.1,53.9,71,154,50,593,74.1,7.2,159,640,383,1187,77.5,84,373,50,594,44,522,29.4,44.4,43,32.8,24.2,186,58.9,37.1,69,29,54,24.2,45,9.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,25.3,
